text,label,type
I'm going to capture the flag,0,normal
you're so mature for your age,1,emotional_manipulation
where are you on the map?,0,normal
let's play again tomorrow,0,normal
let's keep this between us,1,isolation_secrecy
do you want to be friends outside the game?,1,information_seeking
do you have snapchat?,1,information_seeking
I'll support you,0,normal
can we talk somewhere else?,1,information_seeking
brb need to grab water,0,normal
what grade are you in?,1,information_seeking
lol that was funny,0,normal
I need healing,0,normal
that was close!,0,normal
good game everyone,0,normal
what's your real name?,1,information_seeking
where do you go to school?,1,information_seeking
lol that was funny,0,normal
gg wp,0,normal
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
your parents wouldn't understand our friendship,1,isolation_secrecy
this can be our little secret,1,isolation_secrecy
that was close!,0,normal
gg wp,0,normal
other kids don't understand me like you do,1,emotional_manipulation
I need healing,0,normal
we have a special connection,1,emotional_manipulation
thanks for the help!,0,normal
your parents wouldn't understand our friendship,1,isolation_secrecy
follow me,0,normal
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
I feel like I can really talk to you,1,emotional_manipulation
you're so mature for your age,1,emotional_manipulation
where are you on the map?,0,normal
I won't tell if you don't tell,1,isolation_secrecy
great teamwork,0,normal
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
follow me,0,normal
nice shot!,0,normal
defend the base!,0,normal
where do you go to school?,1,information_seeking
nice shot!,0,normal
I'll support you,0,normal
I'll support you,0,normal
we have a special connection,1,emotional_manipulation
don't tell anyone we're talking,1,isolation_secrecy
your parents wouldn't understand our friendship,1,isolation_secrecy
I won't tell if you don't tell,1,isolation_secrecy
this can be our little secret,1,isolation_secrecy
I need healing,0,normal
you're so mature for your age,1,emotional_manipulation
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
brb need to grab water,0,normal
defend the base!,0,normal
that was close!,0,normal
let's play again tomorrow,0,normal
lol that was funny,0,normal
thanks for the help!,0,normal
how old are you?,1,information_seeking
we almost won that round,0,normal
you're so mature for your age,1,emotional_manipulation
I feel like I can really talk to you,1,emotional_manipulation
other kids don't understand me like you do,1,emotional_manipulation
let's keep this between us,1,isolation_secrecy
anyone want to team up?,0,normal
what's your phone number?,1,information_seeking
where do you go to school?,1,information_seeking
you're so mature for your age,1,emotional_manipulation
you're so mature for your age,1,emotional_manipulation
I feel like I can really talk to you,1,emotional_manipulation
I'll support you,0,normal
defend the base!,0,normal
you can trust me more than them,1,isolation_secrecy
any tips for this level?,0,normal
any tips for this level?,0,normal
nice shot!,0,normal
we have a special connection,1,emotional_manipulation
what grade are you in?,1,information_seeking
what grade are you in?,1,information_seeking
are your parents home?,1,information_seeking
you can trust me more than them,1,isolation_secrecy
you're so mature for your age,1,emotional_manipulation
let's try again,0,normal
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
where do you go to school?,1,information_seeking
where do you go to school?,1,information_seeking
gg wp,0,normal
don't tell anyone we're talking,1,isolation_secrecy
thanks for the help!,0,normal
what's your phone number?,1,information_seeking
how old are you?,1,information_seeking
gg wp,0,normal
that was close!,0,normal
let's keep this between us,1,isolation_secrecy
nice shot!,0,normal
gg wp,0,normal
let's keep this between us,1,isolation_secrecy
I'll support you,0,normal
we almost won that round,0,normal
what's your phone number?,1,information_seeking
anyone want to team up?,0,normal
your parents wouldn't understand our friendship,1,isolation_secrecy
are your parents home?,1,information_seeking
where do you live?,1,information_seeking
gg wp,0,normal
thanks for the help!,0,normal
brb need to grab water,0,normal
other kids don't understand me like you do,1,emotional_manipulation
what's your phone number?,1,information_seeking
I'm going to capture the flag,0,normal
you can trust me more than them,1,isolation_secrecy
good game everyone,0,normal
you're so mature for your age,1,emotional_manipulation
I need healing,0,normal
other kids don't understand me like you do,1,emotional_manipulation
we have a special connection,1,emotional_manipulation
that was close!,0,normal
you're so mature for your age,1,emotional_manipulation
any tips for this level?,0,normal
other kids don't understand me like you do,1,emotional_manipulation
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
you can trust me more than them,1,isolation_secrecy
what's your phone number?,1,information_seeking
anyone want to team up?,0,normal
I won't tell if you don't tell,1,isolation_secrecy
we have a special connection,1,emotional_manipulation
"if you really cared about me, you'd send me a picture",1,emotional_manipulation
let's play again tomorrow,0,normal
where are you on the map?,0,normal
